source_id,distance_to_subway,id
313299699,0.561065,313299699
317908939,2.412653,317908939
317292985,3.214937,317292985
314926356,6.526568,314926356
316624415,1.833029,316624415
316594052,2.178003,316594052
317910929,3.181415,317910929
313299704,1.200339,313299704
316870709,7.914884,316870709
317293179,3.661125,317293179
314929450,-1.0,314929450
316625561,2.744819,316625561
313330981,4.288897,313330981
317912169,1.157694,317912169
317294592,0.300506,317294592
316870717,3.868234,316870717
316619820,2.146179,316619820
313344004,2.825349,313344004
316629159,2.495351,316629159
317912511,0.703577,317912511
316871752,1.934908,316871752
314940447,1.292892,314940447
316619885,3.557611,316619885
316629164,0.358349,316629164
313344739,4.391717,313344739
317912531,2.717139,317912531
317311805,8.615033,317311805
316873391,2.816033,316873391
316624676,0.594064,316624676
314959426,0.373762,314959426
316635380,0.480634,316635380
316878193,1.65977,316878193
317912546,4.04814,317912546
317318719,0.333438,317318719
316624680,2.362748,316624680
316637143,3.189585,316637143
316878195,-1.0,316878195
314972971,2.459193,314972971
317915650,0.732703,317915650
317321040,4.04814,317321040
313355439,2.329747,313355439
316624681,0.531118,316624681
316878751,-1.0,316878751
317917622,2.214379,317917622
316637426,5.473616,316637426
314972972,1.014683,314972972
317323011,8.08876,317323011
313374653,0.919741,313374653
316624684,1.157646,316624684
316880086,0.061732,316880086
316645309,1.436005,316645309
313379846,2.705561,313379846
314975835,1.252611,314975835
317917640,0.72484,317917640
317333436,5.716985,317333436
316626484,2.254545,316626484
316880091,0.535564,316880091
317333944,3.633426,317333944
313384946,1.392545,313384946
316647277,0.619259,316647277
317917642,1.588366,317917642
314977688,1.207911,314977688
317334455,1.959757,317334455
316626507,2.000157,316626507
316656865,1.810143,316656865
313386939,0.677778,313386939
317710546,-1.0,317710546
316882105,2.172545,316882105
314979073,0.651992,314979073
317340765,0.266788,317340765
316626520,5.021437,316626520
313389082,4.153879,313389082
317920507,1.00094,317920507
314986288,1.59297,314986288
317710560,4.825736,317710560
316882121,0.147812,316882121
317359170,0.840281,317359170
316626532,4.672566,316626532
317922002,4.585874,317922002
317710570,9.879538,317710570
314995076,8.219511,314995076
316888475,0.551505,316888475
317366252,-1.0,317366252
316627582,3.528896,316627582
316656872,5.163966,316656872
313464586,0.939441,313464586
317710575,-1.0,317710575
317922443,9.193338,317922443
314999991,-1.0,314999991
317367663,0.870746,317367663
316890983,3.863512,316890983
316662826,1.122633,316662826
316628722,0.934114,316628722
313468657,1.549583,313468657
317711801,1.41615,317711801
317382705,2.559571,317382705
