source_id,distance_to_subway,lat,lng,id
315048587,2.378709,56.317537,44.031768,315048587
315051536,4.313718,56.317962,44.063227,315051536
315052105,1.586027,56.258518,43.860307,315052105
315053243,1.809968,56.269071,43.881336,315053243
315055294,2.766729,56.322929,44.035505,315055294
315055298,1.018376,56.329402,43.930986,315055298
315055301,0.685756,56.263062,43.897748,315055301
315056521,5.386544,56.203112,43.806516,315056521
315058354,5.568719,56.27365,44.04756,315058354
315058359,1.626401,56.301594,43.979477,315058359
315061776,0.882527,56.245785,43.845448,315061776
315063274,2.965096,56.300425,44.035352,315063274
315079080,1.691768,56.270116,43.88687,315079080
315079140,1.24555,56.310977,43.974447,315079140
315079141,0.820184,56.300635,43.951144,315079141
315081774,2.696861,56.218441,43.867628,315081774
315084019,1.600921,56.313488,43.898656,315084019
315084025,1.639254,56.344681,43.929225,315084025
315084052,4.415093,56.23505,43.960388,315084052
315085343,0.728381,56.325724,43.933861,315085343
315088220,1.174141,56.252607,43.858115,315088220
315088773,5.885973,56.284464,44.073019,315088773
315094251,5.537117,56.27417,44.047956,315094251
315094267,2.324874,56.309404,43.888774,315094267
315098041,1.883628,56.316469,43.886672,315098041
315101102,2.833771,56.29531,44.02539,315101102
315101104,4.155319,56.359853,43.847694,315101104
315105164,2.188304,56.317527,44.028642,315105164
315108528,3.941719,56.362601,43.859175,315108528
315129638,0.747477,56.283824,43.91602,315129638
315132050,2.809566,56.21701,43.863424,315132050
315134919,0.666611,56.238932,43.867179,315134919
315135304,1.285969,56.236856,43.839502,315135304
315139167,1.55498,56.338953,43.925345,315139167
315139904,6.818511,56.366096,43.801754,315139904
315141192,1.12569,56.257123,43.920458,315141192
315142107,1.674461,56.300899,43.911367,315142107
315142622,3.564634,56.281791,43.992494,315142622
315145669,0.690011,56.27413,43.931723,315145669
315145974,5.094165,56.291519,43.843733,315145974
315146193,1.55498,56.338953,43.925345,315146193
315146194,2.104761,56.270616,43.877366,315146194
315146224,1.683074,56.245345,43.831516,315146224
315147807,1.026982,56.319998,43.981642,315147807
315149141,2.148927,56.266042,43.86478,315149141
315153102,0.87975,56.251467,43.864484,315153102
315154692,1.975832,56.34924,43.929917,315154692
315156582,0.690011,56.27413,43.931723,315156582
315157839,6.577985,56.368883,43.809965,315157839
315158365,0.392432,56.329297,43.912238,315158365
315158369,2.825349,56.320787,44.037814,315158369
315158371,5.206115,56.279387,44.050857,315158371
315162124,2.048793,56.229541,43.882235,315162124
315162128,4.581147,56.232183,43.959975,315162128
315162133,5.575034,56.366046,43.826692,315162133
315165656,1.417113,56.263372,43.877222,315165656
315165660,2.419121,56.312505,43.881139,315165660
315178379,0.248082,56.326013,43.916083,315178379
315184837,1.25352,56.233119,43.845736,315184837
315188037,1.38071,56.280436,43.948494,315188037
315188829,0.862335,56.260543,43.888433,315188829
315190674,-1.0,56.336438,43.617402,315190674
315190682,4.92222,56.288651,43.843481,315190682
315191428,1.687485,56.341682,43.924878,315191428
315193697,0.448073,56.329497,43.914843,315193697
315196957,0.947704,56.32781,43.937975,315196957
315200123,5.589067,56.27276,44.045908,315200123
315200243,1.840596,56.341892,43.86946,315200243
315202956,2.404128,56.347983,43.866406,315202956
315203669,0.687728,56.340904,43.945081,315203669
315203671,3.517328,56.312495,43.851997,315203671
315203879,4.217819,56.358347,43.843733,315203879
315209110,1.684826,56.265647,43.875578,315209110
315209679,0.38157,56.281841,43.926117,315209679
315216863,0.607481,56.271725,43.916478,315216863
315232257,2.591362,56.218792,43.85736,315232257
315233873,1.798599,56.345399,43.926953,315233873
315238808,3.672853,56.291638,44.037877,315238808
315241425,4.468827,56.207874,43.820278,315241425
315241649,1.816858,56.225768,43.85957,315241649
315241653,2.048793,56.229541,43.882235,315241653
315243525,1.586027,56.258518,43.860307,315243525
315244133,1.384302,56.321356,43.888379,315244133
315246758,2.178003,56.224327,43.872829,315246758
315246948,1.563594,56.238567,43.833591,315246948
315247662,4.103918,56.340585,43.829809,315247662
315247664,0.242883,56.28338,43.930205,315247664
315247679,2.159379,56.22772,43.881453,315247679
315247681,1.06552,56.323348,43.992925,315247681
315247685,4.047338,56.341583,43.831138,315247685
315247687,0.704048,56.288246,43.917969,315247687
315247691,0.88961,56.310797,43.922865,315247691
315247707,0.731385,56.341513,43.945979,315247707
315247875,3.341855,56.277078,43.979836,315247875
315250755,0.432493,56.313808,43.941146,315250755
315251737,0.837049,56.327331,43.954333,315251737
315252283,1.26049,56.333654,43.874473,315252283
315254311,4.939083,56.303382,44.071492,315254311
315255607,4.296946,56.315615,44.063281,315255607
315255612,0.645695,56.31243,44.004064,315255612
315255614,4.229153,56.241314,43.964556,315255614
315255710,5.136444,56.203167,43.813495,315255710
315256084,7.822417,56.377647,43.79676,315256084
315261886,5.555504,56.272775,44.045,315261886
315262984,1.342155,56.258373,43.866882,315262984
315270420,0.64448,56.246586,43.85153,315270420
315282459,5.44024,56.296589,44.076181,315282459
315284834,1.157362,56.233219,43.848206,315284834
315284860,1.941603,56.269746,43.879531,315284860
315301267,6.609024,56.362451,43.801772,315301267
315307086,2.375715,56.308206,44.030969,315307086
315315593,0.772994,56.33325,43.882342,315315593
315317520,4.038091,56.307002,43.849823,315317520
315331754,3.857284,56.277023,43.988406,315331754
315332902,3.653572,56.277408,43.98519,315332902
315332920,0.92615,56.310662,43.980061,315332920
315336031,1.153768,56.304131,44.00065,315336031
315336037,1.799695,56.280367,43.955627,315336037
315336038,5.343493,56.364585,43.829369,315336038
315337269,2.575619,56.218932,43.858483,315337269
315338218,0.529651,56.281671,43.921985,315338218
315339606,0.986762,56.24573,43.843526,315339606
315339772,5.563823,56.29569,44.077699,315339772
315342653,5.765554,56.272095,44.049124,315342653
315342660,5.628241,56.269411,44.037418,315342660
315342736,1.519106,56.258693,43.862436,315342736
315347996,3.784826,56.270246,43.982792,315347996
315348000,0.602887,56.286203,43.9374,315348000
315354083,1.39659,56.337217,43.873413,315354083
315354348,0.707735,56.328873,43.922084,315354348
315354362,4.662406,56.281356,44.041542,315354362
315354366,0.594676,56.24592,43.867924,315354366
315360643,3.543973,56.277568,43.983439,315360643
315361704,6.73254,56.361833,43.79888,315361704
315361709,1.737286,56.313958,43.89376,315361709
315363261,5.569532,56.284469,44.066802,315363261
315364557,3.564634,56.281791,43.992494,315364557
315367184,0.387162,56.310483,43.992018,315367184
315369772,1.918054,56.296569,43.993841,315369772
315370290,1.586027,56.258518,43.860307,315370290
315382676,1.094371,56.257188,43.919371,315382676
315385828,0.606791,56.289945,43.932441,315385828
315386346,1.085738,56.291374,43.949033,315386346
315391682,0.876709,56.246251,43.846041,315391682
315392014,1.897829,56.317263,43.884247,315392014
315395447,1.271327,56.257298,43.86584,315395447
315395462,3.357264,56.294431,44.035496,315395462
315395465,1.16872,56.303856,43.999995,315395465
315397418,0.39426,56.313938,43.935163,315397418
315400479,2.710556,56.224252,43.828219,315400479
315404547,4.607495,56.284684,44.046815,315404547
315404550,1.517813,56.301703,43.982603,315404550
315409660,0.250852,56.32787,43.910612,315409660
315410927,0.446128,56.274644,43.91496,315410927
315414383,0.870156,56.321376,43.997336,315414383
315414390,1.429917,56.336304,43.87238,315414390
315414393,0.629737,56.285129,43.917691,315414393
315414397,5.450839,56.360945,43.822137,315414397
315414922,2.342013,56.294196,44.007657,315414922
315429318,3.012095,56.334802,43.846221,315429318
315430456,1.592369,56.325943,43.872721,315430456
315430459,5.2052,56.30457,44.076369,315430459
315430465,1.965075,56.316863,43.883088,315430465
315430467,4.25634,56.239758,43.962562,315430467
315434205,4.314365,56.352931,43.834732,315434205
315435040,1.852193,56.237101,43.829503,315435040
315436420,3.773357,56.317467,44.05454,315436420
315443481,5.054169,56.203072,43.816298,315443481
315443915,5.756395,56.27268,44.050282,315443915
315443919,0.347155,56.307851,43.939915,315443919
315445067,4.403276,56.238992,43.964529,315445067
315452984,0.615977,56.294311,43.933061,315452984
